,id,label,predict
0,518,0,0
1,416,0,1
2,763,0,1
3,1539,0,0
4,1587,0,1
5,2624,0,0
6,653,0,1
7,1618,0,1
8,1739,0,0
9,151,0,1
10,377,0,0
11,1471,0,1
12,1562,0,1
13,2169,0,1
14,2270,0,1
15,1641,0,0
16,353,0,1
17,873,0,1
18,43,0,0
19,2339,0,1
20,2344,0,1
21,2863,0,1
22,1543,0,0
23,1468,0,1
24,1974,0,1
25,839,0,0
26,116,0,0
27,325,0,0
28,1886,0,1
29,1651,0,1
30,1167,0,0
31,2690,0,1
32,2024,0,0
33,1504,0,1
34,568,0,0
35,2651,0,0
36,604,0,1
37,1740,0,1
38,2271,0,1
39,1619,0,1
40,765,0,0
41,1719,0,1
42,696,0,1
43,740,0,0
44,1951,0,0
45,1186,0,1
46,2459,0,1
47,2773,0,0
48,1965,0,0
49,342,0,1
50,1231,0,0
51,2629,0,0
52,406,0,1
53,2396,0,0
54,616,0,0
55,537,0,1
56,2698,0,0
57,699,0,0
58,1500,0,1
59,1627,0,1
60,1673,0,0
61,37,0,0
62,2504,0,1
63,1830,0,1
64,591,0,0
65,2447,0,1
66,1283,0,0
67,2350,0,0
68,1217,0,1
69,1165,0,1
70,1799,0,0
71,1585,0,0
72,723,0,1
73,520,0,1
74,292,0,0
75,1612,0,1
76,741,0,0
77,672,0,1
78,2476,0,1
79,449,0,1
80,1161,0,0
81,2531,0,1
82,577,0,0
83,2795,0,0
84,2557,0,1
85,1177,0,1
86,1998,0,1
87,1660,0,1
88,321,0,0
89,2363,0,0
90,2785,0,1
91,357,0,0
92,685,0,1
93,1515,0,1
94,690,0,1
95,558,0,1
96,1264,0,0
97,77,0,0
98,2359,0,1
99,744,0,1
100,2273,0,0
101,2489,0,1
102,1648,0,1
103,1702,0,0
104,1266,0,0
105,2218,0,0
106,2314,0,1
107,1752,0,1
108,306,0,1
109,1839,0,1
110,2365,0,1
111,73,0,1
112,530,0,1
113,1640,0,1
114,515,0,1
115,2808,0,1
116,1204,0,0
117,2197,0,1
118,461,0,0
119,837,0,1
120,847,0,0
121,61,0,0
122,1243,0,0
123,1658,0,1
124,2443,0,1
125,2818,0,1
126,766,0,1
127,1652,0,1
128,2394,0,0
129,1893,0,1
130,1583,0,1
131,2654,0,1
132,174,0,1
133,476,0,1
134,223,0,0
135,2251,0,1
136,487,0,1
137,2811,0,1
138,6,0,1
139,375,0,1
140,2175,0,1
141,2450,0,1
142,498,0,1
143,422,0,1
144,1729,0,0
145,1150,0,0
146,1805,0,0
147,2782,0,0
148,1521,0,1
149,2495,0,0
150,13,1,1
151,1402,1,1
152,1101,1,1
153,2804,1,1
154,179,1,1
155,2526,1,1
156,814,1,1
157,447,1,1
158,937,1,0
159,2256,1,0
160,1551,1,1
161,2032,1,1
162,1040,1,1
163,1790,1,1
164,719,1,1
165,88,1,1
166,218,1,1
167,1692,1,0
168,329,1,0
169,2741,1,1
170,2527,1,1
171,252,1,1
172,1301,1,1
173,600,1,0
174,2451,1,0
175,2001,1,1
176,1820,1,1
177,2677,1,1
178,1410,1,1
179,2490,1,1
180,816,1,1
181,1436,1,1
182,72,1,0
183,1793,1,1
184,784,1,0
185,2111,1,1
186,1746,1,0
187,159,1,0
188,1745,1,1
189,383,1,1
190,400,1,1
191,1023,1,1
192,1593,1,0
193,2545,1,1
194,1082,1,1
195,1294,1,1
196,2729,1,1
197,285,1,1
198,2589,1,1
199,1335,1,1
200,851,1,1
201,2493,1,1
202,1026,1,1
203,2859,1,0
204,838,1,1
205,40,1,0
206,1775,1,0
207,1934,1,1
208,872,1,0
209,2222,1,1
210,1984,1,1
211,1712,1,0
212,2008,1,0
213,2000,1,0
214,1379,1,1
215,1321,1,0
216,2341,1,0
217,2322,1,1
218,2294,1,1
219,2485,1,1
220,2544,1,1
221,1905,1,0
222,2014,1,1
223,1826,1,1
224,1306,1,1
225,2087,1,1
226,2223,1,1
227,948,1,1
228,367,1,0
229,1448,1,0
230,1069,1,1
231,1414,1,1
232,1877,1,1
233,1116,1,1
234,2010,1,1
235,2730,1,1
236,1435,1,1
237,1784,1,1
238,2576,1,0
239,1399,1,1
240,2540,1,1
241,1070,1,0
242,2579,1,0
243,2733,1,1
244,1342,1,0
245,466,1,0
246,2780,1,1
247,1765,1,0
248,2216,1,0
249,2674,1,1
250,1935,1,1
251,2346,1,1
252,1331,1,0
253,2555,1,1
254,96,1,1
255,1111,1,1
256,721,1,0
257,1821,1,1
258,1105,1,1
259,1523,1,0
260,1108,1,0
261,1093,1,1
262,1326,1,1
263,1964,1,1
264,2598,1,0
265,1292,1,1
266,1696,1,1
267,373,1,0
268,1732,1,1
269,850,1,1
270,2792,1,1
271,2692,1,1
272,2277,1,1
273,915,1,1
274,202,1,1
275,385,1,1
276,381,1,1
277,822,1,1
278,1372,1,1
279,1936,1,0
280,2682,1,1
281,1312,1,0
282,2732,1,1
283,2231,1,1
284,2056,1,0
285,2825,1,1
286,1812,1,0
287,983,1,1
288,1778,1,1
289,127,1,1
290,931,1,1
291,1940,1,1
292,2481,1,0
293,2412,1,1
294,2160,1,1
295,2644,1,1
296,2214,1,0
297,2020,1,1
298,1057,1,1
299,337,1,0
